filename,true_class,pred_class,confidence,is_misclassified,path
41--Swimming_41_Swimming_Swimmer_41_279.jpg_b121853.jpg,clear,occluded,0.9549,True,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\clear\41--Swimming_41_Swimming_Swimmer_41_279.jpg_b121853.jpg
12--Group_12_Group_Group_12_Group_Group_12_277.jpg_b34649.jpg,occluded,clear,0.9116,True,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\occluded\12--Group_12_Group_Group_12_Group_Group_12_277.jpg_b34649.jpg
MaiNT_20260414_160543_931.jpg,clear,occluded,0.8978,True,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\clear\MaiNT_20260414_160543_931.jpg
17--Ceremony_17_Ceremony_Ceremony_17_234.jpg_b10707.jpg,clear,occluded,0.8865,True,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\clear\17--Ceremony_17_Ceremony_Ceremony_17_234.jpg_b10707.jpg
11--Meeting_11_Meeting_Meeting_11_Meeting_Meeting_11_443.jpg_b23216.jpg,occluded,clear,0.8544,True,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\occluded\11--Meeting_11_Meeting_Meeting_11_Meeting_Meeting_11_443.jpg_b23216.jpg
2--Demonstration_2_Demonstration_Protesters_2_884.jpg_b12068.jpg,clear,occluded,0.8236,True,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\clear\2--Demonstration_2_Demonstration_Protesters_2_884.jpg_b12068.jpg
57--Angler_57_Angler_peoplefishing_57_91.jpg_b141276.jpg,clear,occluded,0.8084,True,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\clear\57--Angler_57_Angler_peoplefishing_57_91.jpg_b141276.jpg
6--Funeral_6_Funeral_Funeral_6_719.jpg_b145477.jpg,occluded,clear,0.7789,True,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\occluded\6--Funeral_6_Funeral_Funeral_6_719.jpg_b145477.jpg
39--Ice_Skating_39_Ice_Skating_Ice_Skating_39_109.jpg_b118117.jpg,occluded,clear,0.7638,True,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\occluded\39--Ice_Skating_39_Ice_Skating_Ice_Skating_39_109.jpg_b118117.jpg
2--Demonstration_2_Demonstration_Demonstrators_2_537.jpg_b50029.jpg,clear,occluded,0.7504,True,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\clear\2--Demonstration_2_Demonstration_Demonstrators_2_537.jpg_b50029.jpg
20--Family_Group_20_Family_Group_Family_Group_20_510.jpg_b81731.jpg,clear,occluded,0.7493,True,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\clear\20--Family_Group_20_Family_Group_Family_Group_20_510.jpg_b81731.jpg
18--Concerts_18_Concerts_Concerts_18_660.jpg_b43572.jpg,occluded,clear,0.7443,True,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\occluded\18--Concerts_18_Concerts_Concerts_18_660.jpg_b43572.jpg
DoanNV_20260414_151426_507.jpg,occluded,clear,0.7442,True,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\occluded\DoanNV_20260414_151426_507.jpg
17--Ceremony_17_Ceremony_Ceremony_17_1020.jpg_b41629.jpg,clear,occluded,0.7397,True,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\clear\17--Ceremony_17_Ceremony_Ceremony_17_1020.jpg_b41629.jpg
61--Street_Battle_61_Street_Battle_streetfight_61_101.jpg_b147051.jpg,clear,occluded,0.7375,True,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\clear\61--Street_Battle_61_Street_Battle_streetfight_61_101.jpg_b147051.jpg
0--Parade_0_Parade_Parade_0_676.jpg_b2340.jpg,occluded,clear,0.7367,True,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\train\occluded\0--Parade_0_Parade_Parade_0_676.jpg_b2340.jpg
