filename,split,class,width,height,aspect_ratio,is_square,size_bin,group_id,source_path
23--Shoppers_23_Shoppers_Shoppers_23_922.jpg_b89943.jpg,train,clear,126,126,1.0,True,large,wider_23--Shoppers_23_Shoppers_Shoppers_23_922.jpg,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\raw\clear\23--Shoppers_23_Shoppers_Shoppers_23_922.jpg_b89943.jpg
41--Swimming_41_Swimming_Swimmer_41_1022.jpg_b121312.jpg,train,clear,423,423,1.0,True,large,wider_41--Swimming_41_Swimming_Swimmer_41_1022.jpg,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\raw\clear\41--Swimming_41_Swimming_Swimmer_41_1022.jpg_b121312.jpg
35--Basketball_35_Basketball_basketballgame_ball_35_223.jpg_b108397.jpg,train,clear,178,178,1.0,True,large,wider_35--Basketball_35_Basketball_basketballgame_ball_35_223.jpg,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\raw\clear\35--Basketball_35_Basketball_basketballgame_ball_35_223.jpg_b108397.jpg
12--Group_12_Group_Large_Group_12_Group_Large_Group_12_516.jpg_b24898.jpg,train,clear,135,135,1.0,True,large,wider_12--Group_12_Group_Large_Group_12_Group_Large_Group_12_516.jpg,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\raw\clear\12--Group_12_Group_Large_Group_12_Group_Large_Group_12_516.jpg_b24898.jpg
14--Traffic_14_Traffic_Traffic_14_618.jpg_b38724.jpg,train,clear,175,175,1.0,True,large,wider_14--Traffic_14_Traffic_Traffic_14_618.jpg,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\raw\clear\14--Traffic_14_Traffic_Traffic_14_618.jpg_b38724.jpg
13--Interview_13_Interview_Interview_2_People_Visible_13_186.jpg_b37008.jpg,train,clear,236,236,1.0,True,large,wider_13--Interview_13_Interview_Interview_2_People_Visible_13_186.jpg,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\raw\clear\13--Interview_13_Interview_Interview_2_People_Visible_13_186.jpg_b37008.jpg
000374_face.jpg,train,clear,125,125,1.0,True,large,single_000374_face.jpg,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\raw\clear\000374_face.jpg
0--Parade_0_Parade_Parade_0_960.jpg_b816.jpg,train,clear,158,158,1.0,True,large,wider_0--Parade_0_Parade_Parade_0_960.jpg,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\raw\clear\0--Parade_0_Parade_Parade_0_960.jpg_b816.jpg
4--Dancing_4_Dancing_Dancing_4_21.jpg_b30760.jpg,train,clear,122,122,1.0,True,large,wider_4--Dancing_4_Dancing_Dancing_4_21.jpg,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\raw\clear\4--Dancing_4_Dancing_Dancing_4_21.jpg_b30760.jpg
31--Waiter_Waitress_31_Waiter_Waitress_Waiter_Waitress_31_327.jpg_b24792.jpg,train,clear,171,171,1.0,True,large,wider_31--Waiter_Waitress_31_Waiter_Waitress_Waiter_Waitress_31_327.jpg,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\raw\clear\31--Waiter_Waitress_31_Waiter_Waitress_Waiter_Waitress_31_327.jpg_b24792.jpg
13--Interview_13_Interview_Interview_On_Location_13_654.jpg_b36418.jpg,train,clear,122,122,1.0,True,large,wider_13--Interview_13_Interview_Interview_On_Location_13_654.jpg,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\raw\clear\13--Interview_13_Interview_Interview_On_Location_13_654.jpg_b36418.jpg
46--Jockey_46_Jockey_Jockey_46_38.jpg_b125398.jpg,train,clear,392,392,1.0,True,large,wider_46--Jockey_46_Jockey_Jockey_46_38.jpg,C:\Thực tập LUMI\model_BaiToan\Deepleaning\data\dataset\raw\clear\46--Jockey_46_Jockey_Jockey_46_38.jpg_b125398.jpg
